,,,,,,,,,,,,,,,,,
,XIX. NN ULTRABALATON 2025 - KALKULÁTOR,,,,,,,,,,,,,,,,
,zöld mező: felhasználó tölti ki,,,,,,,,,,,,,,,,
,,,,,,,SZAKASZ HOSSZA,INDULÁS,ÉRKEZÉS,SZAKASZ NÉV,FUTÓ,KERÉKPÁROS,TEMPÓ,FUTÁSIDŐ,VÁLTÓPONTHOZ ÉRKEZÉS IDEJE,Napszak,Info
,,Válassz rajtidőpontot:,12:15:00,,,1,7,Rajt,Aszófő,,Gábor,Brigi,6:00,0:42:00,12:57:00,☀️,"A rajt után, átkeltek a körforgalom melletti zebrán, ott jobbra fordultok. Végig a bicikli úton Tihanyi félsziget mellett, egészen Aszófőig. Sima könnyű 7 kilométer."
,,,,,,2,"4,7",Aszófő,Fövenyes,SYNERGY CONSTRUCTION,Lackó,Brigi,6:30,0:30:33,13:27:33,☀️,"A szakasz jól futható! Örvényesnél zebrán átkeltek a 71-es úton, majd Balatonudvarinál a régi temető legszebb szerelmes szív alakú sírkövei mellett futtok el. Régi hagyomány itt a dudaszó, mely hirdeti az örök, de be nem teljesült szerelmet."
,,,,,,3,"4,6",Fövenyes,Balatonakali,WABERER'S,Lackó,Brigi,6:30,0:29:54,13:57:27,☀️,"A szakasz jól futható, picit emelkedős."
,,,,,,4,"3,7",Balatonakali,Zánka Erzsébet-tábor,,Lackó,Brigi,6:30,0:24:03,14:21:30,☀️,"A szakasz jól futható, picit emelkedős."
,,,,,,5,"2,9",Zánka Erzsébet-tábor,Zánka,PENNY,Lilla,Brigi,6:30,0:18:51,14:40:21,☀️,"A szakasz bár rövid és lejtős, de figyelmet igényel! Itt ne megszokásból fuss, mivel 1,2 km után a Balaton felé futunk és nem megyünk fel a felvidékre, mint régen! ZÁNKA váltóponton BRINGÁSOK is frissíthetnek, és a pizzéria is nyitva lesz, ahol feltölthetitek a szénhidrátraktárakat! Nagy parkoló van, érdemes megállni."
,,,,,,6,"3,7",Zánka,Balatonszepezd,,Lilla,Brigi,6:30,0:24:03,15:04:24,☀️,"Szepezden kevés a parkoló, ezért, ha lehet, ezt a szakaszt vonjátok össze a következővel! Rövid szakasz, mely síkon indul, de 1,7 kilométernél, a 71-es úton való átkelés után egy rövid, de erős emelkedővel vár benneteket."
,,,,,,7,"3,2",Balatonszepezd,Révfülöp kelet,MARKET,Bianka,Brigi,6:00,0:19:12,15:23:36,☀️,"A szakasz rövid és picit dimbes-dombos, de akár kezdő futók is megbirkóznak vele. Révfülöp kelet váltóponton van a parkoló. A Market Csoport révfülöpi váltópontja frissítő koktélokkal, élő DJ zenével és remek hangulattal vár! A Chillzone-ban a feltöltődés mellett megtapasztalhatod az igazi Market életérzést és együtt szurkolhatsz velük a versenyzőknek. Fussatok össze és alapozzátok meg együtt a jó hangulatot! 💚"
